Routing Number,Name,City,State
065300279,TRUSTMARK NATIONAL BANK,JACKSON,MS
065300402,HOME BANK  NATIONAL ASSOCIATION,LAFAYETTE,LA
065300486,CADENCE BANK,TUPELO,MS
065300703,TRUSTMARK NATL BANK,JACKSON,MS
065300790,BANK OF YAZOO CITY,YAZOO CITY,MS
065301061,BANKPLUS,BELZONI,MS
065301155,REGIONS BANK,BIRMINGHAM,AL
065301197,BANKPLUS,BELZONI,MS
065301265,RENASANT BANK,TUPELO,MS
065301362,MERCHANTS & MARINE BANK,PASCAGOULA,MS
065301540,COMMUNITY BANK OF MS,BRANDON,MS
065301566,COMMUNITY BANK OF MS,BRANDON,MS
065301605,BANKPLUS,BELZONI,MS
065301647,RIVERHILLS BANK,VICKSBURG,MS
065301650,BANKPLUS,BELZONI,MS
065301689,FIRST STATE BANK,WAYNESBORO,MS
065301744,COPIAH BANK,HAZELHURST,MS
065301854,MERCHANTS & PLANTERS BANK,RAYMOND,MS
065301883,UNITED MISS BANK,NATCHEZ,MS
065301948,BANKPLUS,BELZONI,MS
065302044,BANKPLUS,BELZONI,MS
065302154,CITIZENS BANK OF PHILADELPHIA,PHILADELPHIA,MS
065302183,BANK OF FOREST,FOREST,MS
065302196,COMMUNITY BANK OF MS,BRANDON,MS
065302303,PRIORITYONE BANK,MAGEE,MS
065302358,CITIZENS BANK,COLUMBIA,MS
065302468,MAGNOLIA STATE BANK,BAY SPRINGS,MS
065302484,COVINGTON COUNTY BANK,COLLINS,MS
065302507,BANKPLUS,BELZONI,MS
065302633,RENASANT BANK,TUPELO,MS
065302675,BANK OF ANGUILLA,ANGUILLA,MS
065302701,BANKPLUS,BELZONI,MS
065302895,BANKPLUS,BELZONI,MS
065302963,COMMERCIAL BANK,MERIDIAN,MS
065303056,JEFFERSON BANK,LAKE VILLAGE,AR
065303069,BANKPLUS,BELZONI,MS
065303085,RENASANT BANK,TUPELO,MS
065303124,PIKE NATIONAL BANK,MCCOMB,MS
065303292,BANK OF LEAKESVILLE,WAYNESBORO,MS
065303315,LIBERTY BANK & TRUST COMPANY,NEW ORLEANS,LA
065303328,CENTURY BANK,LUCEDALE,MS
065303360,THE FIRST BANK,HATTIESBURG,MS
065303386,FIRST BANK,MCCOMB,MS
065303467,PEOPLES BANK,MENDENHALL,MS
065303522,BANK OF MORTON,MORTON,MS
065303771,HANCOCK WHITNEY BANK,LONG BEACH,MS
065303784,GREAT SOUTHERN BANK,MERIDIAN,MS
065303807,MERCHANTS & PLANTERS BANK,RAYMOND,MS
065303810,RICHTON BK + TR CO,RICHTON,MS
065303920,BANKPLUS,BELZONI,MS
065304084,FIRST STATE BANK,WAYNESBORO,MS
065304327,BANK OF FRANKLIN,MEADVILLE,MS
065304369,BANKFIRST FINANCIAL SERVICES,MACON,MS
065304385,CITIZENS BANK,COLUMBIA,MS
065304424,UNITED MISS BANK,NATCHEZ,MS
065304673,BANK OF WIGGINS,WIGGINS,MS
065305151,TRUSTMARK NATIONAL BANK,JACKSON,MS
065305326,BANK OF FOREST,FOREST,MS
065305436,REGIONS BANK,BIRMINGHAM,AL
065305478,RENASANT BANK,TUPELO,MS
065305863,FIRST STATE BANK,WAYNESBORO,MS
065305902,REGIONS BANK,BIRMINGHAM,AL
065306066,UNITED MISS BANK,NATCHEZ,MS
065306079,FIRST STATE BANK,WAYNESBORO,MS
065306118,COMMUNITY BANK OF MS,BRANDON,MS
065306134,BANK OF BROOKHAVEN,BROOKHAVEN,MS
065306147,BANKPLUS,BELZONI,MS
065306189,FIRST COMMERCIAL BANK,JACKSON,MS
065306202,COMMUNITY TRUST BANK,RUSTON,LA
065382514,HOPE FEDERAL CREDIT UNION,JACKSON,MS
065382624,FIRST UNITY FCU,MCCOMB,MS
065400137,JPMORGAN CHASE BANK  NA,TAMPA,FL
065400140,CAPITAL ONE  N.A.,RICHMOND,VA
065400153,HANCOCK WHITNEY BANK,NEW ORLEANS,LA
065400483,M C BANK & TRUST,MORGAN CITY,LA
065400603,THE FIRST  A NATIONAL BANKING ASSN,HATTIESBURG,MS
065400687,CAPITAL ONE  N.A.,RICHMOND,VA
065400755,CAPITAL ONE  N.A.,RICHMOND,VA
065400894,CAPITAL ONE  N.A.,RICHMOND,VA
065401000,CAPITAL ONE  N.A.,RICHMOND,VA
065401107,UNITED COMMUNITY BANK,RACELAND,LA
065401246,CAPITAL ONE  N.A.,RICHMOND,VA
065401408,PLAQUEMINE BANK AND TRUST,PLAQUEMINE,LA
065401411,MCBANK & TRUST CO,MORGAN CITY,LA
065401505,HANCOCK WHITNEY BANK,NEW ORLEANS,LA
065401673,S LAFOURCHE BK & TR,LAROSE,LA
065402290,B1BANK,BATON ROUGE,LA
065402313,CAPITAL ONE  N.A.,RICHMOND,VA
065402339,CAPITAL ONE  N.A.,RICHMOND,VA
065402423,FIRST AMERICAN BK + TRUST,VACHERIE,LA
065402494,CAPITAL ONE  N.A.,RICHMOND,VA
065402517,FIRST NATIONAL BANK USA,BOUTTE,LA
065402520,BANK OF ZACHARY,ZACHARY,LA
065402850,MISSISSIPPI RIVER BANK,BELLE CHASSE,LA
065402889,SOUTH LOUISIANA BANK,HOUMA,LA
065402892,REGIONS BANK,BIRMINGHAM,AL
065403150,CITIZENS BANK AND TRUST CO,PLAQUEMINE,LA
065403370,FIRST NATIONAL BANKERS BANK,BATON ROUGE,LA
065403477,BANKPLUS,BELZONI,MS
065403587,BANKPLUS,BELZONI,MS
065403626,REGIONS BANK,BIRMINGHAM,AL
065403875,REGIONS BANK,BIRMINGHAM,AL
065404159,THE BANK OF COMMERCE,WHITE CASTLE,LA
065404340,FIRST GUARANTY BANK,HAMMOND,LA
065404353,FIRST GUARANTY BANK,HAMMOND,LA
065404418,CAPITAL ONE  N.A.,RICHMOND,VA
065404544,CITIZENS BANK & TRUST CO,COVINGTON,LA
065404560,METAIRIE BANK AND TRUST CO,METAIRIE,LA
065404735,STATE BANK + TRUST CO.,GOLDEN MEADOW,LA
065404913,REGIONS BANK,BIRMINGHAM,AL
065405132,CAPITAL ONE  N.A.,RICHMOND,VA
065405145,CAPITAL ONE  N.A.,RICHMOND,VA
065405226,UNITED COMMUNITY BANK,RACELAND,LA
065405242,RESOURCE BANK,COVINGTON,LA
065405255,CADENCE BANK,TUPELO,MS
065405284,B1BANK,BATON ROUGE,LA
065405297,SYNERGY BANK,HOUMA,LA
065405349,FIRST HORIZON BANK,MEMPHIS,TN
065405365,INVESTAR BANK  NATIONAL ASSOCIATION,BATON ROUGE,LA
065405417,FIRST HORIZON BANK,MEMPHIS,TN
065405420,B1BANK,BATON ROUGE,LA
065405459,INVESTAR BANK  NATIONAL ASSOCIATION,BATON ROUGE,LA
065405491,CITIZENS BANK & TRUST COMPANY,PLAQUEMINE,LA
065405527,INVESTAR BANK  NATIONAL ASSOCIATION,BATON ROUGE,LA
065482595,WEST JEFFERSON FEDERAL CU,MARRERO,LA
065500752,THE PEOPLES BANK OF BILOXI,BILOXI,MS
065503348,COMMUNITY BANK OF MS,BRANDON,MS
065503681,HANCOCK WHITNEY BANK,NEW ORLEANS,LA
065505870,FNB PICAYUNE BANK,PICAYUNE,MS
065506222,BANKPLUS,BELZONI,MS
065506332,THE CITIZENS BANK OF PHILADELPHIA,PHILADELPHIA,MS
066004367,CITY NATIONAL BANK OF FLORIDA,MIAMI,FL
066004600,GROVE BANK & TRUST,MIAMI,FL
066006349,FIRST HORIZON BANK,MEMPHIS,TN
066007681,BANK OF AMERICA N.A.,RICHMOND,VA
066009029,BANESCO USA,DORAL,FL
066009155,CITY NATIONAL BANK OF FLORIDA,MIAMI,FL
066009456,FIRST AMERICAN BANK,ELK GROVE,IL
066009650,THE NORTHERN TRUST CO,CHICAGO,IL
066010351,VALLEY NATIONAL BANK,WAYNE,NJ
066010490,BANCO DO BRASIL - MIAMI,ORLANDO,FL
066010597,BANCO SANTANDER INTERNATIONAL,MIAMI,FL
066010678,BANCO DE LA NACION ARGENTINA,MIAMI,FL
066010720,BANCO DE BOGOTA  S.A.,MIAMI,FL
066010869,BANCO ITAU EUROPA INTERNATIONAL,MIAMI,FL
066011350,PACIFIC NATIONAL BANK,MIAMI,FL
066011389,BANCO DAVIVIENDA SA MIAMI INTL BR,MIAMI,FL
066011392,OCEAN BANK,MIAMI,FL
066012333,TERRABANK N A,MIAMI,FL
066012867,BANCO PICHINCHA - MIAMI AGENCY,CORAL GABLES,FL
066014069,BANCO DE SABADELL SA-MIAMI BRANCH,HIALEAH,FL
066014085,BANCO DE CHILE,ENGLEWOOD CLIFFS,NJ
066014153,SEACOAST NATIONAL BANK,STUART,FL
066014726,BANCO DE CREDITO E INVERSIONES (BCI),MIAMI,FL
066014959,SAFRA NATIONAL BANK N.Y.,NEW YORK,NY
066015084,SEACOAST NATIONAL BANK,STUART,FL
066015181,PLUS INTERNATIONAL BANK,MIAMI,FL
066015440,INTERAUDI BANK,MIAMI,FL
066015576,SYNOVUS BANK,COLUMBUS,GA
066015767,FIRST CITIZENS BANK & TRUST CO,RALEIGH,NC
066016766,SYNOVUS BANK,COLUMBUS,GA
066016889,CITY NATIONAL BANK,MIAMI,FL
066016931,ABANCA CORP BANCARIA SA,MIAMI,FL
066016944,PACIFIC NATIONAL BANK,MIAMI,FL
067000438,FIRST STATE BK OF THE FLORIDA KEYS,MIRAMAR,FL
067001246,BANK OF BELLE GLADE,BELLE GLADE,FL
067001275,BANCO POPULAR  NORTH AMERICA,NEW YORK,NY
067001699,VALLEY NATIONAL BANK,WAYNE,NJ
067002436,BANK OF AMERICA  N.A.,RICHMOND,VA
067002533,EASTERN NATIONAL BANK,MIAMI,FL
067003671,PNC BANK  NA,CLEVELAND,OH
067003778,FIRST BANK,CLEWISTON,FL
067003927,SYNOVUS BANK,COLUMBUS,GA
067003985,BANK OF AMERICA  N.A.,RICHMOND,VA
067004764,CITIBANK,NEW CASTLE,DE
067005145,SOUTHSTATE BANK  N.A.,CHARLESTON,SC
067005158,SEACOAST NATIONAL BANK,STUART,FL
067005679,BANK OF AMERICA  N.A.,RICHMOND,VA
067005873,1ST NATL BANK SOUTH MIAMI,SOUTH MIAMI,FL
067006238,BANK OF AMERICA  N.A.,RICHMOND,VA
067006432,WELLS FARGO BANK,MINNEAPOLIS,MN
067006762,ONEUNITED BANK,LOS ANGELES,CA
067006775,SOUTHSTATE BANK  N.A.,CHARLESTON,SC
067007130,BANK OF AMERICA  N.A.,RICHMOND,VA
067007156,CITIBANK /FLORIDA/BR,CORAL GABLES,FL
067007949,BANK OF AMERICA  N.A.,RICHMOND,VA
067008155,CITY NATIONAL BANK FLORIDA,MIAMI,FL
067008414,REGIONS BANK,BIRMINGHAM,AL
067008579,BANK OF AMERICA  N.A.,RICHMOND,VA
067008582,BANK OF AMERICA  N.A.,RICHMOND,VA
067008993,SOUTHSTATE BANK  N.A.,CHARLESTON,SC
067009044,BRADESCO BAC FLORIDA BANK,CORAL GABLES,FL
067009280,FIRST HORIZON BANK,MEMPHIS,TN
067009390,HSBC BANK USA,MIAMI,FL
067009646,FIRST HORIZON BANK,MEMPHIS,TN
067009785,CENTENNIAL BANK,CONWAY,AR
067010169,FIRST HORIZON BANK,MEMPHIS,TN
067010509,AMERANT BANK  N.A.,MIAMI,FL
067010512,BANESCO USA,DORAL,FL
067010583,REGIONS BANK,BIRMINGHAM,AL
067011142,TD BANK NA,LEWISTON,ME
067011294,PATHWARD  NATIONAL ASSOCIATION,SIOUX FALLS,SD
067011456,HELM BANK,MIAMI,FL
067011692,INTERNATIONAL FINANCE BANK,MIAMI,FL
067011760,FIRST HORIZON BANK,MEMPHIS,TN
067011812,INTERCREDIT BANK  N.A.,MIAMI,FL
067011825,FIRST HORIZON BANK,MEMPHIS,TN
067011977,AMERICAN NATIONAL BANK,OAKLAND PARK,FL
067011993,CITIBANK /FLORIDA/ BR,MIAMI,FL
067012057,PNC BANK  NATIONAL ASSOCIATION,ROCKY MOUNT,NC
067012099,COMERICA BANK,DETROIT,MI
067012413,CENTENNIAL BANK,CONWAY,AR
067012471,BANK LEUMI USA,MIAMI,FL
067012484,SYNOVUS BANK,COLUMBUS,GA
067012565,SEACOAST NATIONAL BANK,STUART,FL
067012688,BANCO DO BRASIL AMERICAS,MIAMI,FL
067012882,PNC BANK  NATIONAL ASSOCIATION,PITTSBURGH,PA
067012895,SOUTHSTATE BANK  N.A.,CHARLESTON,SC
067012921,VALLEY NATIONAL BANK,WAYNE,NJ
067013124,FIRST-CITIZENS BANK & TRUST COMPANY,RALEIGH,NC
067013179,CHARLOTTE STATE BANK AND TRUST,PORT CHARLOTTE,FL
067013247,ENGLEWOOD BANK & TRUST,ENGLEWOOD,FL
067013564,WELLS FARGO BANK,MINNEAPOLIS,MN
067013700,FIFTH THIRD BANK,CINCINNATI,OH
067013836,VALLEY NATIONAL BANK,WAYNE,NJ
067013852,VALLEY NATIONAL BANK,WAYNE,NJ
067014026,BANK OF AMERICA  N.A.,RICHMOND,VA
067014071,AMERASIA BANK,FLUSHING,NY
067014110,CENTENNIAL BANK,CONWAY,AR
067014123,FIRST HORIZON BANK,MEMPHIS,TN
067014181,KEY BANK,ALBANY,NY
067014194,PNC BANK  NATIONAL ASSOCIATION,PITTSBURGH,PA
067014246,MARINE BANK & TRUST COMPANY,VERO BEACH,FL
067014301,EDISON NATIONAL BANK,FORT MYERS,FL
067014330,BMO HARRIS BANK N.A,NAPERVILLE,IL
067014343,FIRST HORIZON BANK,MEMPHIS,TN
067014437,TIAA BANK,ISLANDIA,NY
067014453,CENTENNIAL BANK,CONWAY,AR
067014466,SEACOAST NATIONAL BANK,STUART,FL
067014521,BANK OZK,OZARK,AR
067014592,SUNSTATE BANK,MIAMI,FL
067014615,SYNOVUS BANK,COLUMBUS,GA
067014673,COMMERCEBANK  N.A.,MIAMI,FL
067014686,TIAA BANK,ISLANDIA,NY
067014712,SOUTHSTATE BANK  N.A.,CHARLESTON,SC
067014738,POWER FINANCIAL CREDIT UNION,PEMBROKE PINES,FL
067014767,SYNOVUS BANK,COLUMBUS,GA
067014822,TD BANK  NA,LEWISTON,ME
067014851,TIAA BANK,ISLANDIA,NY
067014961,FLAGLER BANK,WEST PALM BEACH,FL
067014987,VALLEY NATIONAL BANK,WAYNE,NJ
067015096,OPTIMUMBANK,FT. LAUDERDALE,FL
067015119,FIRST HORIZON BANK,MEMPHIS,TN
067015164,SYNOVUS BANK,COLUMBUS,GA
067015203,FIRST FOUNDATION BANK,IRVINE,CA
067015232,ISRAEL DISCOUNT BANK OF NEW YORK MI,NEW YORK,NY
067015258,CENTENNIAL BANK,CONWAY,AR
067015274,SUNSTATE BANK,MIAMI,FL
067015287,SANIBEL CAPTIVA COMMUNITY BANK,SANIBEL,FL
067015313,SYNOVUS BANK,COLUMBUS,GA
067015326,TIAA BANK,ISLANDIA,NY
067015355,BANCO DE CREDITO DEL PERU,CORAL GABLES,FL
067015397,U.S. CENTURY BANK,DORAL,FL
067015478,FIRST CITIZENS BANK & TRUST COMPANY,TEMPE,AZ
067015546,CENTENNIAL BANK,CONWAY,AR
067015601,BANK OZK,OZARK,AR
067015643,TIAA BANK,ISLANDIA,NY
067015656,ANCHOR BANK,PALM BEACH GARDENS,FL
067015724,CENTENNIAL BANK,CONWAY,AR
067015779,BANESCO USA,DORAL,FL
067015795,PARADISE BANK,BOCA RATON,FL
067015928,FIRST AMERICAN BANK,ELK GROVE,IL
067015944,SEACOAST NATIONAL BANK,STUART,FL
067015973,CENTENNIAL BANK,CONWAY,AR
067015986,TIAA BANK,ISLANDIA,NY
067015999,SEACOAST NATIONAL BANK,STUART,FL
067016037,CENTENNIAL BANK,CONWAY,AR
067016040,CENTENNIAL BANK,CONWAY,AR
067016105,CENTENNIAL BANK,CONWAY,AR
067016118,CENTENNIAL BANK,CONWAY,AR
067016192,LAKE MICHIGAN CREDIT UNION,GRAND RAPIDS,MI
067016231,FINEMARK NATIONAL BANK & TRUST,FORT MYERS,FL
067016312,PROFESSIONAL BANK,CORAL GABLES,FL
067016325,FIRST FOUNDATION BANK,IRVINE,CA
067016354,VALLEY NATIONAL BANK,WAYNE,NJ
067016367,BANKFLORIDA,PALM BEACH GARDENS,FL
067016383,FIRST FOUNDATION BANK,IRVINE,CA
067016396,BRADESCO BAC FLORIDA BANK,CORAL GABLES,FL
067016558,SEACOAST NATIONAL BANK,STUART,FL
067016574,PROFESSIONAL BANK,CORAL GABLES,FL
067016590,CENTENNIAL BANK,CONWAY,AR
067016655,CENTENNIAL BANK,CONWAY,AR
067016914,FIRST NATIONAL BANK COASTAL COMMUNIT,DOUGLAS,GA
067016956,PROFESSIONAL BANK,CORAL GABLES,FL
067016972,GULF ATLANTIC BANK,FORT WALTON BEACH,FL
067017052,LOCALITY BANK,FORT LAUDERDALE,FL
067017065,GULF COAST BUSINESS BANK,FORT MYERS,FL
067017078,EVERMORE BANK,FT. LAUDERDALE,FL
067091719,FIFTH THIRD BANK,CINCINNATI,OH
067091764,NATBANK  N.A.,HOLLYWOOD,FL
067091780,WELLS FARGO BANK,MINNEAPOLIS,MN
067092022,FIRST CITIZENS BANK & TRUST COMPANY,RALEIGH,NC
067092035,CENTENNIAL BANK,CONWAY,AR
067092064,ANCHOR BANK,PALM BEACH GARDENS,FL
067092200,FIRST HORIZON BANK,MEMPHIS,TN
067092556,ITHINK FINANCIAL CREDIT UNION,BOCA RATON,FL
067092640,CENTENNIAL BANK,CONWAY,AR
067092679,SIMMONS BANK,PINE BLUFF,AR
067092886,CUSTOMERS BANK,NEW HAVEN,CT
067092912,BANKUNITED,MIAMI LAKES,FL
071000013,JPMORGAN CHASE BANK  NA,TAMPA,FL
071000039,BANK OF AMERICA  N.A.,RICHMOND,VA
071000152,THE NORTHERN TRUST CO,CHICAGO,IL
071000288,BMO HARRIS BANK  N.A.,NAPERVILLE,IL
071000301,FEDERAL RESERVE BANK,ATLANTA,GA
071000343,FIFTH THIRD BANK,CINCINNATI,OH
071000505,BANK OF AMERICA  N.A.,CHICAGO,IL
071000521,US BANK NA,ST. PAUL,MN
071000806,NORTHERN /O'HARE,CHICAGO,IL
071001041,US BANK,ST PAUL,MN
071001122,OLD SECOND BANK/AURORA,AURORA,IL
071001180,REPUBLIC BK OF CHICAGO,OAK BROOK,IL
071001216,SELF-HELP FCU,DURHAM,NC
071001232,VERVE  A CREDIT UNION,OSHKOSH,WI
071001274,HUNTINGTON NATIONAL BANK,COLUMBUS,OH
071001465,UNITED FIDELITY BANK  FSB,EVANSVILLE,IN
071001504,LAKESIDE BANK,CHICAGO,IL
071001533,BYLINE BANK,CHICAGO,IL
071001588,BANCO POPULAR,NEW YORK,NY
071001630,PNC BANK  NA,CLEVE,OH
071001685,BANCO POPULAR,NEW YORK,NY
071001737,FIFTH THIRD BANK,CINCINNATI,OH
071002024,BANK LEUMI USA,CHICAGO,IL
071002053,HSBC BANK USA,BUFFALO,NY
071002095,LIBERTY BANK & TRUST COMPANY,NEW ORLEANS,LA
071002150,STATE BK OF INDIA,CHICAGO,IL
071002257,BANCO POPULAR,ROSEMONT,IL
071002341,MUFG BANK  LTD CHICAGO BRANCH,NEW YORK,NY
071002419,FIFTH THIRD BANK,CINCINNATI,OH
071002422,BRICKYARD BANK,LINCOLNWOOD,IL
071002503,FIFTH THIRD BANK,CINCINNATI,OH
071002707,BYLINE BANK,CHICAGO,IL
071002914,BANKFINANCIAL  NATIONAL ASSOCIATION,ORLAND PARK,IL
071002943,STATE BANK OF TEXAS,IRVING,TX
071003007,OLD NATIONAL BANK,EVANSVILLE,IN
071003405,AMALGAMATED BANK CHGO,CHICAGO,IL
071004158,BYLINE BANK,CHICAGO,IL
071004161,FIFTH THIRD BANK,CINCINNATI,OH
071004200,US BANK,ST PAUL,MN
071004226,PROVIDENCE BANK AND TRUST,DYER,IN
071004271,DEVON BANK,CHICAGO,IL
071004284,MARQUETTE BANK,ORLAND PARK,IL
071004349,BYLINE BANK,CHICAGO,IL
071004365,HUNTINGTON NATIONAL BANK,COLUMBUS,OH
071004378,OLD NATIONAL BANK,EVANSVILLE,IN
071004420,BANCO POPULAR,NEW YORK,NY
071004433,CIBC BANK USA,CHICAGO,IL
071004446,ALBANY BANK & TR CO N. A.,CHICAGO,IL
071004501,FEDERAL HOME LOAN BANK,CHICAGO,IL
071004527,OLD NATIONAL BANK,EVANSVILLE,IN
071004530,BYLINE BANK,CHICAGO,IL
071004543,BANCO POPULAR,NEW YORK,NY
071005254,BURLING BANK,CHICAGO,IL
071005979,CATHAY BANK,ROSEMEAD,CA
071006282,BANK OF HOPE,LOS ANGELES,CA
071006486,CIBC BANK USA,CHICAGO,IL
071006651,INTERNATIONAL BANK OF CHICAGO,CHICAGO,IL
071006774,ROYAL BUSINESS BANK,LOS ANGELES,CA
071006868,PAN AMERICAN BANK,MELROSE PARK,IL
071025645,AMERICAN METRO BANK,CHICAGO,IL
071025661,BMO HARRIS BANK  N.A.,NAPERVILLE,IL
071025797,REPUBLIC BANK OF CHICAGO,OAK BROOK,IL
071025849,FIFTH THIRD BANK,CINCINNATI,OH
071026123,THE FEDERAL SAVINGS BANK,CHICAGO,IL
071026356,BEVERLY BANK TRUST CO. N.A.,CHICAGO,IL
071026385,REPUBLIC BANK OF CHICAGO,OAK BROOK,IL
071026408,METROPOLITAN CAPITAL BANK,CHICAGO,IL
071026576,BELMONT BANK & TRUST COMPANY,CHICAGO,IL
071026628,SIGNATURE BANK,ROSEMONT,IL
071026686,SIGNATURE BANK,CHICAGO,IL
071026835,AMERICAN EAGLE BANK,SOUTH ELGIN,IL
071026848,GOLD COAST BANK,CHICAGO,IL
071027106,BANK OF CHINA  CHICAGO BRANCH,CHICAGO,IL
071027216,FWBANK,CHICAGO,IL
071050432,FRB-FINANCIAL SERVICES,ATLANTA,GA
071074528,JPMORGAN CHASE BANK  NA,TAMPA,FL
071093295,SOUTH SIDE COMMUNITY FCU,CHICAGO,IL
071093305,ST. HELENA PARISH CU,CHICAGO,IL
071093318,UNIFIED HOMEOWNERS OF ILLINOIS FCU,CHICAGO,IL
071093350,ELCA FCU,CHICAGO,IL
071093389,ELCA FCU,ALLEN,TX
071100010,COMMERCE BANK,KANSAS CITY,MO
071100049,PNC BANK  NA,CLEVELAND,OH
071100269,JPMORGAN CHASE BANK  NA,TAMPA,FL
071100706,PNC BANK  NA,CLEVELAND,OH
071100858,FIRST FINANCIAL BANK NA,TERRE HAUTE,IN
071101022,COLCHESTER STATE BANK,COLCHESTER,IL
071101307,WELLS FARGO BK NA ILLINOIS,MINNEAPOLIS,MN
071101310,CBI BANK & TRUST,MUSCATINE,IA
071102076,FIRST MID BANK & TRUST  NA,MATTOON,IL
071102173,HEARTLAND BANK & TRUST COMPANY,BLOOMINGTON,IL
071102199,TOWN & COUNTRY BK SPRINGFIELD,SPRINGFIELD,IL
071102238,MIDAMERICA NATIONAL BANK,CANTON,IL
071102487,PEOPLES NATL BANK-KEWANEE,KEWANEE,IL
071102500,MIDWEST BANK OF WESTERN ILLINOIS,MONMOUTH,IL
071102568,BUSEY BANK,CHAMPAIGN,IL
071102827,PROSPECT BANK,PARIS,IL
071102995,BMO HARRIS BANK N.A.,NAPERVILLE,IL
071103376,FIRST NATL BK-BEARDSTOWN,BEARDSTOWN,IL
071103389,WEST CENTRAL BANK,ASHLAND,IL
071103473,FIRST FINANCIAL BANK NA,TERRE HAUTE,IN
071103509,FIRST NATL BANK PANA,PANA,IL
071103619,BANK OF AMERICA N A,RICHMOND,VA
071103635,MORTON COMMUNITY BANK,MORTON,IL
071103949,HEARTLAND BANK & TRUST COMPANY,BLOOMINGTON,IL
071103952,FIRST NATIONAL BK & TR,CLINTON,IL
071104427,HEARTLAND BANK AND TRUST CO,BLOOMINGTON,IL
071104430,BMO HARRIS BANK N.A.,NAPERVILLE,IL
071104647,TBK BANK  SSB,SAVANNA,IL
071104692,SHELBY COUNTY STATE BANK,SHELBYVILLE,IL
071104715,BUSEY BANK,DECATUR,IL
071104731,HAVANA NATIONAL BANK,HAVANA,IL
071105002,CENTRAL BANK ILLINOIS,GENESEO,IL
071105154,THE FREDERICK COMMUNITY BANK,CISSNA PARK,IL
071105471,TBK BANK  SSB,SAVANNA,IL
071105507,FIRST COMMUNITY BANK MOULTRIE COUNTY,SULLIVAN,IL
071105536,FARMERS & MERCHANTS ST BK,BUSHNELL,IL
071105581,ALLIANCE COMMUNITY BANK,ATHENS,IL
071105756,1ST TRUST & SAV BK,WATSEKA,IL
071105798,TRUSTBANK,OLNEY,IL
071105866,RUSHVILLE STATE BANK,RUSHVILLE,IL
071105882,BANK OF FARMINGTON,FARMINGTON,IL
071106043,LONGVIEW BANK AND TRUST,CHRISMAN,IL
071106069,HILL-DODGE BANKING COMPANY,WARSAW,IL
071106195,CASEY STATE BK,CASEY,IL
071106218,PEOPLES NATL BANK / KEWANEE,KEWANEE,IL
071106250,BMO HARRIS BANK N.A.,NAPERVILLE,IL
071106344,ARCOLA FIRST BANK,ARCOLA,IL
071106593,1ST NATL BK ASSUMPTION,ASSUMPTION,IL
071106687,BETTER BANKS,PEORIA,IL
071107123,STATE BANK OF BEMENT,BEMENT,IL
071107220,FARMERS BANK-MT PULASKI,MT PULASKI,IL
071107259,BETTER BANKS,PEORIA,IL
071107262,PETEFISH SKILES & CO,VIRGINIA,IL
071107424,EUREKA SAVINGS BANK,LA SALLE,IL
071107453,BANK OF RANTOUL,RANTOUL,IL
071107563,ATLANTA NATIONAL BANK,ATLANTA,IL
071107699,CITIZENS STATE BANK,MILFORD,IL
071107783,FEDERATED BANK,ONARGA,IL
071107987,STATE BANK OF TOULON,TOULON,IL
071108038,LONGVIEW BANK AND TRUST,CHRISMAN,IL
071108083,EXCHANGE STATE BK,LANARK,IL
071108096,LENA STATE BANK,LENA,IL
071108106,CITIZENS STATE BANK,LENA,IL
071108193,PEOPLES BK OF MACON,MACON,IL
071108290,COMMUNITY NATIONAL BK MONMOUTH,MONMOUTH,IL
071108313,CITIZENS BANK OF CHATSWORTH,CHATSWORTH,IL
071108326,WEST CENTRAL BANK,ASHLAND,IL
071108407,UNITED COMMUNITY BK CHATHAM,AUBURN,IL
071108423,FARMERS NATL BANK,PROPHETSTOWN,IL
071108449,MARION COUNTY SAVINGS BANK,SALEM,IL
071108452,MORTON COMMUNITY BANK,MORTON,IL
071108559,BANK OF SPRINGFIELD,SPRINGFIELD,IL
071108630,GREENSTATE CREDIT UNION,NORTH LIBERTY,IA
071108643,STATE BK OF NAUVOO,NAUVOO,IL
071108669,FIRST COMMUNITY BANK MOULTRIE COUNTY,SULLIVAN,IL
071108698,ILLINOIS BANK & TRUST ADO HTLF BANK,DUBUQUE,IA
071108740,MARINE BANK,SPRINGFIELD,IL
071108766,TOMPKINS STATE BK,AVON,IL
071108782,MIDLAND COMMUNITY BANK,KINCAID,IL
071108834,AMERICAN BANK & TRUST CO,DAVENPORT,IA
071109037,1ST COMMUNITY BANK,ALEDO,IL
071109082,FIRST NEIGHBOR BANK N.A.,TOLEDO,IL
071109163,UNITED COMMUNITY BANK,AUBURN,IL
071109189,STATE BANK OF BEMENT,BEMENT,IL
071109202,TOMPKINS STATE BK,AVON,IL
071109228,SCOTT STATE BANK,BETHANY,IL
071109338,INB NATIONAL ASSOCIATION,SPRINGFIELD,IL
071109406,MARINE BANK,SPRINGFIELD,IL
071109435,FIRST NATIONAL BK TREMONT,TREMONT,IL
071109558,CITIZENS 1ST ST BANK WALNUT,WALNUT,IL
071109655,1ST SECURITY BK,MACKINAW,IL
071109707,UNITED FIDELITY BANK  FSB,EVANSVILLE,IN
071109752,ILLINOIS BANK & TRUST ADO HTLF BANK,DUBUQUE,IA
071109820,BANK OF PONTIAC,PONTIAC,IL
071109846,WARREN-BOYNTON STATE BANK,NEW BERLIN,IL
